medal|prize|country|year
Bronze|10970|Singapore|2002
Gold|135859|Singapore|2004
Silver|77456|Singapore|2004
Bronze|13932|Singapore|2004
Gold|97989|Singapore|2006
Silver|67110|Singapore|2006
Bronze|11536|Singapore|2006
Gold|185406|Singapore|2008
Silver|73082|Singapore|2008
Bronze|12559|Singapore|2008
Gold|117171|Singapore|2010
Silver|63585|Singapore|2010
Bronze|27003|Singapore|2010
Gold|101333|Singapore|2012
Silver|45701|Singapore|2012
Bronze|13419|Singapore|2012
Gold|130510|Slovakia|2000
Silver|60993|Slovakia|2000
Bronze|12230|Slovakia|2000
Gold|194962|Slovakia|2002
Silver|70275|Slovakia|2002
Bronze|24375|Slovakia|2002
Gold|135630|Slovakia|2004
Silver|50878|Slovakia|2004
Bronze|17287|Slovakia|2004
Gold|120485|Slovakia|2006
Silver|50610|Slovakia|2006
Bronze|12188|Slovakia|2006
Gold|112543|Slovakia|2008
Silver|52417|Slovakia|2008
Bronze|17518|Slovakia|2008
Gold|188928|Slovakia|2010
Silver|47650|Slovakia|2010
Bronze|26268|Slovakia|2010
Gold|128765|Slovakia|2012
Silver|78489|Slovakia|2012
Bronze|15833|Slovakia|2012
Gold|90969|Slovenia|2000
Silver|51780|Slovenia|2000
Bronze|13582|Slovenia|2000
Gold|183168|Slovenia|2002
Silver|73152|Slovenia|2002
Bronze|29171|Slovenia|2002
Gold|123748|Slovenia|2004
Silver|40224|Slovenia|2004
Bronze|17353|Slovenia|2004
Gold|153759|Slovenia|2006
Silver|46234|Slovenia|2006
Bronze|17807|Slovenia|2006
Gold|186017|Slovenia|2008
Silver|70224|Slovenia|2008
Bronze|15449|Slovenia|2008
Gold|126618|Slovenia|2010
Silver|55892|Slovenia|2010
Bronze|26897|Slovenia|2010
Gold|92464|Slovenia|2012
Silver|69049|Slovenia|2012
Bronze|15073|Slovenia|2012
Gold|194556|South Africa|2000
Silver|49805|South Africa|2000
Bronze|22945|South Africa|2000
Gold|137277|South Africa|2002
Silver|58992|South Africa|2002
Bronze|24240|South Africa|2002
Gold|179565|South Africa|2004
Silver|58329|South Africa|2004
Bronze|12727|South Africa|2004
Gold|176530|South Africa|2006
Silver|50136|South Africa|2006
Bronze|22570|South Africa|2006
Gold|176147|South Africa|2008
Silver|79713|South Africa|2008
Bronze|23337|South Africa|2008
Gold|169808|South Africa|2010
Silver|74299|South Africa|2010
Bronze|11008|South Africa|2010
Gold|196253|South Africa|2012
Silver|71330|South Africa|2012
Bronze|12194|South Africa|2012
Gold|115366|South Korea|2000
Silver|63517|South Korea|2000
Bronze|18327|South Korea|2000
Gold|136743|South Korea|2002
Silver|67210|South Korea|2002
Bronze|22874|South Korea|2002
Gold|127259|South Korea|2004
Silver|49701|South Korea|2004
Bronze|18428|South Korea|2004
Gold|173914|South Korea|2006
Silver|48906|South Korea|2006
Bronze|11004|South Korea|2006
Gold|175967|South Korea|2008
Silver|51025|South Korea|2008
Bronze|14645|South Korea|2008
Gold|124343|South Korea|2010
Silver|52572|South Korea|2010
Bronze|20721|South Korea|2010
Gold|106278|South Korea|2012
Silver|42563|South Korea|2012
Bronze|26852|South Korea|2012
Gold|127987|Spain|2000
Silver|47725|Spain|2000
Bronze|20586|Spain|2000
Gold|141867|Spain|2002
Silver|67920|Spain|2002
Bronze|20739|Spain|2002
Gold|141318|Spain|2004
Silver|78493|Spain|2004
Bronze|29470|Spain|2004
Gold|115281|Spain|2006
Silver|71116|Spain|2006
Bronze|23617|Spain|2006
Gold|194344|Spain|2008
Silver|66388|Spain|2008
Bronze|14063|Spain|2008
Gold|126456|Spain|2010
Silver|64020|Spain|2010
Bronze|19815|Spain|2010
Gold|189818|Spain|2012
Silver|51793|Spain|2012
Bronze|22135|Spain|2012
Gold|113172|Sri Lanka|2000
Silver|50065|Sri Lanka|2000
Bronze|11671|Sri Lanka|2000
Gold|90337|Sri Lanka|2002
Silver|47622|Sri Lanka|2002
Bronze|12277|Sri Lanka|2002
Gold|195651|Sri Lanka|2004
Silver|65614|Sri Lanka|2004
Bronze|22898|Sri Lanka|2004
Gold|90294|Sri Lanka|2006
Silver|66488|Sri Lanka|2006
Bronze|12253|Sri Lanka|2006
Gold|99153|Sri Lanka|2008
Silver|44545|Sri Lanka|2008
Bronze|24505|Sri Lanka|2008
Gold|181949|Sri Lanka|2010
Silver|64862|Sri Lanka|2010
Bronze|28284|Sri Lanka|2010
Gold|192526|Sri Lanka|2012
Silver|54920|Sri Lanka|2012
Bronze|14205|Sri Lanka|2012
Gold|101299|Sudan|2000
Silver|52621|Sudan|2000
Bronze|23215|Sudan|2000
Gold|185826|Sudan|2002
Silver|42109|Sudan|2002
Bronze|19906|Sudan|2002
Gold|144316|Sudan|2004
Silver|49520|Sudan|2004
Bronze|19293|Sudan|2004
Gold|103617|Sudan|2006
Silver|43065|Sudan|2006
Bronze|27129|Sudan|2006
Gold|96283|Sudan|2008
Silver|64910|Sudan|2008
Bronze|27578|Sudan|2008
Gold|166460|Sudan|2010
Silver|44664|Sudan|2010
Bronze|20163|Sudan|2010
Gold|174167|Sudan|2012
Silver|58658|Sudan|2012
Bronze|25222|Sudan|2012
Gold|94666|Sweden|2000
Silver|69897|Sweden|2000
Bronze|18445|Sweden|2000
Gold|134193|Sweden|2002
Silver|55244|Sweden|2002
Bronze|21677|Sweden|2002
Gold|121085|Sweden|2004
Silver|75459|Sweden|2004
Bronze|15055|Sweden|2004
Gold|112806|Sweden|2006
Silver|61167|Sweden|2006
Bronze|24858|Sweden|2006
Gold|174561|Sweden|2008
Silver|77826|Sweden|2008
Bronze|15421|Sweden|2008
Gold|176350|Sweden|2010
Silver|56677|Sweden|2010
Bronze|29569|Sweden|2010
Gold|152949|Sweden|2012
Silver|49586|Sweden|2012
Bronze|10024|Sweden|2012
Gold|110010|Switzerland|2000
Silver|44987|Switzerland|2000
Bronze|14378|Switzerland|2000
Gold|176557|Switzerland|2002
Silver|73398|Switzerland|2002
Bronze|25281|Switzerland|2002
Gold|148268|Switzerland|2004
Silver|52915|Switzerland|2004
Bronze|18536|Switzerland|2004
Gold|107675|Switzerland|2006
Silver|67979|Switzerland|2006
Bronze|28538|Switzerland|2006
Gold|129221|Switzerland|2008
Silver|54604|Switzerland|2008
Bronze|16302|Switzerland|2008
Gold|127522|Switzerland|2010
Silver|68248|Switzerland|2010
Bronze|12800|Switzerland|2010
Gold|100145|Switzerland|2012
Silver|62231|Switzerland|2012
Bronze|27855|Switzerland|2012
Gold|93964|Syria|2000
Silver|71216|Syria|2000
Bronze|27207|Syria|2000
Gold|159708|Syria|2002
Silver|55040|Syria|2002
Bronze|16059|Syria|2002
Gold|162250|Syria|2004
Silver|79648|Syria|2004
Bronze|16980|Syria|2004
Gold|173943|Syria|2006
Silver|79329|Syria|2006
Bronze|11770|Syria|2006
Gold|103201|Syria|2008
Silver|56171|Syria|2008
Bronze|26222|Syria|2008
Gold|121250|Syria|2010
Silver|60866|Syria|2010
Bronze|18451|Syria|2010
Gold|91086|Syria|2012
Silver|79127|Syria|2012
Bronze|16473|Syria|2012
Gold|188989|Tajikistan|2000
Silver|47827|Tajikistan|2000
Bronze|10504|Tajikistan|2000
Gold|107874|Tajikistan|2002
Silver|52132|Tajikistan|2002
Bronze|13504|Tajikistan|2002
Gold|110681|Tajikistan|2004
Silver|43522|Tajikistan|2004
Bronze|14784|Tajikistan|2004
Gold|119605|Tajikistan|2006
Silver|71519|Tajikistan|2006
Bronze|26367|Tajikistan|2006
Gold|192352|Tajikistan|2008
Silver|66313|Tajikistan|2008
Bronze|18289|Tajikistan|2008
Gold|196089|Tajikistan|2010
Silver|76799|Tajikistan|2010
Bronze|22799|Tajikistan|2010
Gold|114329|Tajikistan|2012
Silver|42712|Tajikistan|2012
Bronze|11710|Tajikistan|2012
Gold|179818|Thailand|2000
Silver|43828|Thailand|2000
Bronze|27565|Thailand|2000
Gold|160671|Thailand|2002
Silver|51032|Thailand|2002
Bronze|16973|Thailand|2002
Gold|179655|Thailand|2004
Silver|41123|Thailand|2004
Bronze|22633|Thailand|2004
Gold|142677|Thailand|2006
Silver|79615|Thailand|2006
Bronze|12210|Thailand|2006
Gold|190699|Thailand|2008
Silver|44424|Thailand|2008
Bronze|14997|Thailand|2008
Gold|150873|Thailand|2010
Silver|51960|Thailand|2010
Bronze|26845|Thailand|2010
Gold|99639|Thailand|2012
Silver|60383|Thailand|2012
Bronze|26130|Thailand|2012
Gold|99258|Togo|2000
Silver|51225|Togo|2000
Bronze|28801|Togo|2000
Gold|190094|Togo|2002
Silver|55318|Togo|2002
Bronze|10987|Togo|2002
Gold|199668|Togo|2004
Silver|52840|Togo|2004
Bronze|21484|Togo|2004
Gold|95973|Togo|2006
Silver|45716|Togo|2006
Bronze|27019|Togo|2006
Gold|191513|Togo|2008
Silver|42306|Togo|2008
Bronze|11851|Togo|2008
Gold|112455|Togo|2010
Silver|61715|Togo|2010
Bronze|23939|Togo|2010
Gold|171908|Togo|2012
Silver|71718|Togo|2012
Bronze|17091|Togo|2012
Gold|183411|Trinidad and Tobago|2000
Silver|77250|Trinidad and Tobago|2000
Bronze|18115|Trinidad and Tobago|2000
Gold|164924|Trinidad and Tobago|2002
Silver|71385|Trinidad and Tobago|2002
Bronze|12889|Trinidad and Tobago|2002
Gold|171672|Trinidad and Tobago|2004
Silver|52181|Trinidad and Tobago|2004
Bronze|28096|Trinidad and Tobago|2004
Gold|115667|Trinidad and Tobago|2006
Silver|60150|Trinidad and Tobago|2006
Bronze|27680|Trinidad and Tobago|2006
Gold|111529|Trinidad and Tobago|2008
Silver|75980|Trinidad and Tobago|2008
Bronze|17860|Trinidad and Tobago|2008
Gold|155677|Trinidad and Tobago|2010
Silver|41924|Trinidad and Tobago|2010
Bronze|14928|Trinidad and Tobago|2010
Gold|170671|Trinidad and Tobago|2012
Silver|69517|Trinidad and Tobago|2012
Bronze|15726|Trinidad and Tobago|2012
Gold|101035|Tunisia|2000
Silver|68291|Tunisia|2000
Bronze|20425|Tunisia|2000
Gold|96515|Tunisia|2002
Silver|74573|Tunisia|2002
Bronze|11335|Tunisia|2002
Gold|161120|Tunisia|2004
Silver|48425|Tunisia|2004
Bronze|24130|Tunisia|2004
Gold|175734|Tunisia|2006
Silver|79627|Tunisia|2006
Bronze|21137|Tunisia|2006
Gold|137994|Tunisia|2008
Silver|60377|Tunisia|2008
Bronze|29533|Tunisia|2008
Gold|117949|Tunisia|2010
Silver|70923|Tunisia|2010
Bronze|18923|Tunisia|2010
Gold|115739|Tunisia|2012
Silver|43132|Tunisia|2012
Bronze|11595|Tunisia|2012
Gold|190767|Turkey|2000
Silver|74970|Turkey|2000
Bronze|20893|Turkey|2000
Gold|121963|Turkey|2002
Silver|67878|Turkey|2002
Bronze|12724|Turkey|2002
Gold|186285|Turkey|2004
Silver|76648|Turkey|2004
Bronze|16042|Turkey|2004
Gold|112878|Turkey|2006
Silver|47648|Turkey|2006
Bronze|15712|Turkey|2006
Gold|122952|Turkey|2008
Silver|73526|Turkey|2008
Bronze|10702|Turkey|2008
Gold|152281|Turkey|2010
Silver|53161|Turkey|2010
Bronze|18202|Turkey|2010
Gold|172709|Turkey|2012
Silver|72018|Turkey|2012
Bronze|16376|Turkey|2012
Gold|151733|Uganda|2000
Silver|61788|Uganda|2000
Bronze|14850|Uganda|2000
Gold|140392|Uganda|2002
Silver|68559|Uganda|2002
Bronze|10522|Uganda|2002
Gold|107302|Uganda|2004
Silver|45249|Uganda|2004
Bronze|26790|Uganda|2004
Gold|161337|Uganda|2006
Silver|42851|Uganda|2006
Bronze|16223|Uganda|2006
Gold|150921|Uganda|2008
Silver|50625|Uganda|2008
Bronze|24918|Uganda|2008
Gold|96518|Uganda|2010
Silver|54878|Uganda|2010
Bronze|22190|Uganda|2010
Gold|168838|Uganda|2012
Silver|77344|Uganda|2012
Bronze|23315|Uganda|2012
Gold|135000|Ukraine|2000
Silver|57279|Ukraine|2000
Bronze|17066|Ukraine|2000
Gold|132987|Ukraine|2002
Silver|42969|Ukraine|2002
Bronze|17153|Ukraine|2002
Gold|160971|Ukraine|2004
Silver|53821|Ukraine|2004
Bronze|11856|Ukraine|2004
Gold|194860|Ukraine|2006
Silver|68052|Ukraine|2006
Bronze|21666|Ukraine|2006
Gold|189388|Ukraine|2008
Silver|43196|Ukraine|2008
Bronze|16383|Ukraine|2008
Gold|128705|Ukraine|2010
Silver|76457|Ukraine|2010
Bronze|12118|Ukraine|2010
Gold|115036|Ukraine|2012
Silver|73116|Ukraine|2012
Bronze|25164|Ukraine|2012
Gold|160202|United Arab Emirates|2000
Silver|57152|United Arab Emirates|2000
Bronze|22227|United Arab Emirates|2000
Gold|153659|United Arab Emirates|2002
Silver|74970|United Arab Emirates|2002
Bronze|22203|United Arab Emirates|2002
Gold|144062|United Arab Emirates|2004
Silver|53834|United Arab Emirates|2004
Bronze|10744|United Arab Emirates|2004
Gold|157677|United Arab Emirates|2006
Silver|64761|United Arab Emirates|2006
Bronze|20216|United Arab Emirates|2006
Gold|106973|United Arab Emirates|2008
Silver|75929|United Arab Emirates|2008
Bronze|10275|United Arab Emirates|2008
Gold|161050|United Arab Emirates|2010
Silver|74176|United Arab Emirates|2010
Bronze|13556|United Arab Emirates|2010
Gold|136563|United Arab Emirates|2012
Silver|56523|United Arab Emirates|2012
Bronze|24044|United Arab Emirates|2012
Gold|160577|United States|2000
Silver|56217|United States|2000
Bronze|11744|United States|2000
Gold|134121|United States|2002
Silver|40237|United States|2002
Bronze|20519|United States|2002
Gold|172212|United States|2004
Silver|55068|United States|2004
Bronze|19484|United States|2004
Gold|146169|United States|2006
Silver|42202|United States|2006
Bronze|23081|United States|2006
Gold|164815|United States|2008
Silver|42351|United States|2008
Bronze|24482|United States|2008
Gold|108311|United States|2010
Silver|69047|United States|2010
Bronze|29443|United States|2010
Gold|186754|United States|2012
Silver|73767|United States|2012
Bronze|15795|United States|2012
Gold|148975|Uruguay|2000
Silver|40434|Uruguay|2000
Bronze|12322|Uruguay|2000
Gold|136959|Uruguay|2002
Silver|57801|Uruguay|2002
Bronze|26696|Uruguay|2002
Gold|159320|Uruguay|2004
Silver|76007|Uruguay|2004
Bronze|11135|Uruguay|2004
Gold|152455|Uruguay|2006
Silver|75407|Uruguay|2006
Bronze|20844|Uruguay|2006
Gold|113169|Uruguay|2008
Silver|76038|Uruguay|2008
Bronze|23922|Uruguay|2008
Gold|185116|Uruguay|2010
Silver|78689|Uruguay|2010
Bronze|23833|Uruguay|2010
Gold|150159|Uruguay|2012
Silver|63432|Uruguay|2012
Bronze|18680|Uruguay|2012
Gold|106465|Uzbekistan|2000
Silver|54320|Uzbekistan|2000
Bronze|22218|Uzbekistan|2000
Gold|145766|Uzbekistan|2002
Silver|61297|Uzbekistan|2002
Bronze|27552|Uzbekistan|2002
Gold|184876|Uzbekistan|2004
Silver|68496|Uzbekistan|2004
Bronze|28817|Uzbekistan|2004
Gold|106192|Uzbekistan|2006
Silver|52862|Uzbekistan|2006
Bronze|24109|Uzbekistan|2006
Gold|135981|Uzbekistan|2008
Silver|64670|Uzbekistan|2008
Bronze|24060|Uzbekistan|2008
Gold|134597|Uzbekistan|2010
Silver|69948|Uzbekistan|2010
Bronze|10057|Uzbekistan|2010
Gold|103364|Uzbekistan|2012
Silver|76266|Uzbekistan|2012
Bronze|27616|Uzbekistan|2012
Gold|165650|Venezuela|2000
Silver|43308|Venezuela|2000
Bronze|12172|Venezuela|2000
Gold|100334|Venezuela|2002
Silver|74088|Venezuela|2002
Bronze|18154|Venezuela|2002
Gold|138320|Venezuela|2004
Silver|57707|Venezuela|2004
Bronze|13946|Venezuela|2004
Gold|192324|Venezuela|2006
Silver|72207|Venezuela|2006
Bronze|12163|Venezuela|2006
Gold|95943|Venezuela|2008
Silver|65785|Venezuela|2008
Bronze|17369|Venezuela|2008
Gold|194040|Venezuela|2010
Silver|45444|Venezuela|2010
Bronze|27564|Venezuela|2010
Gold|158475|Venezuela|2012
Silver|74135|Venezuela|2012
Bronze|27085|Venezuela|2012
Gold|188430|Vietnam|2000
Silver|61190|Vietnam|2000
Bronze|19254|Vietnam|2000
Gold|93662|Vietnam|2002
Silver|51418|Vietnam|2002
Bronze|23715|Vietnam|2002
Gold|101312|Vietnam|2004
Silver|77146|Vietnam|2004
Bronze|23502|Vietnam|2004
Gold|152061|Vietnam|2006
Silver|43960|Vietnam|2006
Bronze|20608|Vietnam|2006
Gold|134613|Vietnam|2008
Silver|43474|Vietnam|2008
Bronze|28936|Vietnam|2008
Gold|136909|Vietnam|2010
Silver|57461|Vietnam|2010
Bronze|29893|Vietnam|2010
Gold|169050|Vietnam|2012
Silver|72852|Vietnam|2012
Bronze|23829|Vietnam|2012
Gold|148930|Zimbabwe|2000
Silver|59288|Zimbabwe|2000
Bronze|25536|Zimbabwe|2000
Gold|175585|Zimbabwe|2002
Silver|57995|Zimbabwe|2002
Bronze|24418|Zimbabwe|2002
Gold|106196|Zimbabwe|2004
Silver|78334|Zimbabwe|2004
Bronze|14403|Zimbabwe|2004
Gold|130195|Zimbabwe|2006
Silver|45136|Zimbabwe|2006
Bronze|22738|Zimbabwe|2006
Gold|199405|Zimbabwe|2008
Silver|75661|Zimbabwe|2008
Bronze|14418|Zimbabwe|2008
Gold|151267|Zimbabwe|2010
Silver|53599|Zimbabwe|2010
Bronze|24625|Zimbabwe|2010
Gold|112071|Zimbabwe|2012
Silver|77268|Zimbabwe|2012
Bronze|20859|Zimbabwe|2012
